GRAPHEME	syllabic	vocalic	consonantal	sonorant	continuant	voice	constr	lateral	nasal	strident	spread	tense	ATR	high	low	anterior	coronal	back	round	labial	distributed	LONG	EXTRA
e	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	-	-	-	n	-	-
ei	+	+	-	+	+	+	-	n	-	-	-	+	+	.	-	-	-	-	-	-	n	+	-
ej	+	+	-	+	+	+	-	n	-	-	-	+	+	.	-	-	-	-	-	-	n	+	-
emf	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	-	-	-	n	-	-
eu	+	+	-	+	+	+	-	n	-	-	-	+	+	.	-	-	-	.	.	-	n	+	-
eə	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	.	-	-	n	+	-
eɪ	+	+	-	+	+	+	-	n	-	-	-	+	+	.	-	-	-	-	-	-	n	+	-
eʔ	+	+	-	+	+	+	+	n	-	-	-	+	+	-	-	-	-	-	-	-	n	-	-
eʔe	+	+	-	+	+	+	+	n	-	-	-	+	+	-	-	-	-	-	-	-	n	-	-
eː	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	-	-	-	n	+	-
eːː	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	-	-	-	n	+	+
eˤ	+	+	-	+	+	+	-	n	-	-	-	+	+	-	+	-	-	+	-	-	n	-	-
ẽ	+	+	-	+	+	+	-	n	+	-	-	+	+	-	-	-	-	-	-	-	n	-	-
ẽʔẽ	+	+	-	+	+	+	+	n	+	-	-	+	+	-	-	-	-	-	-	-	n	-	-
ẽː	+	+	-	+	+	+	-	n	+	-	-	+	+	-	-	-	-	-	-	-	n	+	-
ẽⁿ	+	+	-	+	+	+	-	n	+	-	-	+	+	-	-	-	-	-	-	-	n	-	-
e̝	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	-	-	-	n	-	-
e̝ː	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	-	-	-	n	+	-
ẽ̝	+	+	-	+	+	+	-	n	+	-	-	+	+	-	-	-	-	-	-	-	n	-	-
e̞	+	+	-	+	+	+	-	n	-	-	-	.	.	-	-	-	-	-	-	-	n	-	-
e̤	+	+	-	+	+	+	-	n	-	-	+	+	+	-	-	-	-	-	-	-	n	-	-
e̤ː	+	+	-	+	+	+	-	n	-	-	+	+	+	-	-	-	-	-	-	-	n	+	-
ẽ̤	+	+	-	+	+	+	-	n	+	-	+	+	+	-	-	-	-	-	-	-	n	-	-
e̥	+	-	-	+	+	-	-	n	-	-	+	+	+	-	-	-	-	-	-	-	n	-	-
e̯	-	-	-	+	+	+	-	n	-	-	-	.	n	-	-	-	-	-	-	-	.	-	-
e̯a	+	+	-	+	+	+	-	n	-	-	-	+	+	-	.	-	-	.	-	-	n	+	-
e̯o	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	.	.	-	n	+	-
f	-	-	+	-	+	-	-	n	-	+	-	.	n	-	-	+	-	-	-	+	-	-	-
fʃ	-	-	+	-	+	-	-	-	-	+	-	.	n	.	-	-	.	-	-	-	+	-	-
fʲ	-	-	+	-	+	-	-	n	-	+	-	.	n	+	-	+	-	-	-	+	-	-	-
fʷ	-	-	+	-	+	-	-	n	-	+	-	.	n	-	-	+	-	-	+	+	-	-	-
fʼ	-	-	+	-	+	-	+	n	-	+	-	+	n	-	-	+	-	-	-	+	-	-	-
fː	-	-	+	-	+	-	-	n	-	+	-	.	n	-	-	+	-	-	-	+	-	+	-
fˡ	-	-	+	-	+	-	-	+	-	+	-	.	n	-	-	+	-	-	-	+	-	-	-
fˤ	-	-	+	-	+	-	-	n	-	+	-	.	n	-	+	+	-	+	-	+	-	-	-
g	-	-	+	-	-	+	-	n	-	-	-	.	n	+	-	-	-	+	-	-	.	-	-
gkxʼ	-	-	+	-	.	.	+	n	-	-	-	+	n	+	-	-	-	+	-	-	.	-	-
gǀ	-	-	+	-	-	+	-	-	-	-	-	n	n	+	-	+	+	+	-	-	+	-	-
gǀkx	-	-	+	-	-	+	-	-	-	-	-	n	n	+	-	+	+	+	-	-	+	-	-
gǀx	-	-	+	-	-	+	-	-	-	-	-	n	n	+	-	+	+	+	-	-	+	-	-
gǀʰ	-	-	+	-	-	+	-	-	-	-	+	+	n	+	-	+	+	+	-	-	+	-	-
gǁ	-	-	+	-	-	+	-	+	-	-	-	n	n	+	-	+	+	+	-	-	.	-	-
gǁkx	-	-	+	-	-	+	-	+	-	-	-	n	n	+	-	+	+	+	-	-	.	-	-
gǁx	-	-	+	-	-	+	-	+	-	-	-	n	n	+	-	+	+	+	-	-	.	-	-
gǁʰ	-	-	+	-	-	+	-	+	-	-	+	+	n	+	-	+	+	+	-	-	.	-	-
gǂ	-	-	+	-	-	+	-	-	-	-	-	n	n	+	-	-	+	+	-	-	+	-	-
gǂkx	-	-	+	-	-	+	-	-	-	-	-	n	n	+	-	-	+	+	-	-	+	-	-
gǂx	-	-	+	-	-	+	-	-	-	-	-	n	n	+	-	-	+	+	-	-	+	-	-
gǂʰ	-	-	+	-	-	+	-	-	-	-	+	+	n	+	-	-	+	+	-	-	+	-	-
gǃ	-	-	+	-	-	+	-	-	-	-	-	n	n	+	-	+	+	+	-	-	-	-	-
gǃkx	-	-	+	-	-	+	-	-	-	-	-	n	n	+	-	+	+	+	-	-	-	-	-
gǃx	-	-	+	-	-	+	-	-	-	-	-	n	n	+	-	+	+	+	-	-	-	-	-
gǃʰ	-	-	+	-	-	+	-	-	-	-	+	+	n	+	-	+	+	+	-	-	-	-	-
gʘ	-	-	+	-	-	+	-	n	-	-	-	n	n	+	-	+	-	+	-	+	+	-	-
gʘkx	-	-	+	-	-	+	-	n	-	-	-	n	n	+	-	+	-	+	-	+	+	-	-
gʘx	-	-	+	-	-	+	-	n	-	-	-	n	n	+	-	+	-	+	-	+	+	-	-
gʘʰ	-	-	+	-	-	+	-	n	-	-	+	+	n	+	-	+	-	+	-	+	+	-	-
gʰ	-	-	+	-	-	+	-	n	-	-	+	+	n	+	-	-	-	+	-	-	.	-	-
gʲ	-	-	+	-	-	+	-	n	-	-	-	.	n	+	-	-	-	-	-	-	.	-	-
gʷ	-	-	+	-	-	+	-	n	-	-	-	.	n	+	-	-	-	+	+	+	.	-	-
gʷː	-	-	+	-	-	+	-	n	-	-	-	.	n	+	-	-	-	+	+	+	.	+	-
gː	-	-	+	-	-	+	-	n	-	-	-	.	n	+	-	-	-	+	-	-	.	+	-
gˤ	-	-	+	-	-	+	-	n	-	-	-	.	n	+	+	-	-	+	-	-	.	-	-
ĝ	-	-	+	-	-	+	-	n	-	-	-	-	n	+	-	-	-	+	-	-	.	-	-
ĝ͡b̂	-	-	+	-	-	+	-	n	-	-	-	-	n	+	-	+	-	+	-	+	.	-	-
g̥	-	-	+	-	-	-	-	n	-	-	-	.	n	+	-	-	-	+	-	-	.	-	-
g͡b	-	-	+	-	-	+	-	n	-	-	-	.	n	+	-	+	-	+	-	+	.	-	-
g͡bʲ	-	-	+	-	-	+	-	n	-	-	-	.	n	+	-	+	-	+	-	+	.	-	-
g͡bʷ	-	-	+	-	-	+	-	n	-	-	-	.	n	+	-	+	-	+	+	+	.	-	-
g͡p	-	-	+	-	-	.	-	n	-	-	-	.	n	+	-	+	-	+	-	+	.	-	-
g͡ɓ	-	-	+	-	-	+	+	n	-	-	-	+	n	+	-	+	-	+	-	+	.	-	-
h	-	-	-	+	+	-	-	n	-	-	+	.	n	-	+	-	-	-	-	-	.	-	-
hʲ	-	-	-	+	+	-	-	n	-	-	+	.	n	+	+	-	-	-	-	-	.	-	-
hʷ	-	-	-	+	+	-	-	n	-	-	+	.	n	-	+	-	-	-	+	+	.	-	-
hʷː	-	-	-	+	+	-	-	n	-	-	+	.	n	-	+	-	-	-	+	+	.	+	-
hˤ	-	-	-	+	+	-	-	n	-	-	+	.	n	.	+	.	-	+	-	-	.	-	-
h̃	-	-	-	+	+	-	-	n	+	-	+	.	n	-	+	-	-	-	-	-	.	-	-
i	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	-	-	-	n	-	-
ia	+	+	-	+	+	+	-	n	-	-	-	+	+	.	.	-	-	.	-	-	n	+	-
ie	+	+	-	+	+	+	-	n	-	-	-	+	+	.	-	-	-	-	-	-	n	+	-
ij	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	-	-	-	n	+	-
iə	+	+	-	+	+	+	-	n	-	-	-	+	+	.	-	-	-	.	-	-	n	+	-
iɛ	+	+	-	+	+	+	-	n	-	-	-	-	-	.	-	-	-	-	-	-	n	+	-
iʔ	+	+	-	+	+	+	+	n	-	-	-	+	+	+	-	-	-	-	-	-	n	-	-
iʔi	+	+	-	+	+	+	+	n	-	-	-	+	+	+	-	-	-	-	-	-	n	-	-
iː	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	-	-	-	n	+	-
iːː	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	-	-	-	n	+	+
iˤ	+	+	-	+	+	+	-	n	-	-	-	+	+	+	+	-	-	+	-	-	n	-	-
