GRAPHEME	syllabic	vocalic	consonantal	sonorant	continuant	voice	constr	lateral	nasal	strident	spread	tense	ATR	high	low	anterior	coronal	back	round	labial	distributed	LONG	EXTRA
ɠʲ	-	-	+	-	-	+	+	n	-	-	-	.	n	+	-	-	-	-	-	-	.	-	-
ɠʷ	-	-	+	-	-	+	+	n	-	-	-	.	n	+	-	-	-	+	+	+	.	-	-
ɠ̥	-	-	+	-	-	-	+	n	-	-	-	.	n	+	-	-	-	+	-	-	.	-	-
ɠ͡ɓ	-	-	+	-	-	+	+	n	-	-	-	.	n	+	-	+	-	+	-	+	.	-	-
ɢ	-	-	+	-	-	+	-	n	-	-	-	.	n	-	-	-	-	+	-	-	.	-	-
ɢˤ	-	-	+	-	-	+	-	n	-	-	-	.	n	-	+	-	-	+	-	-	.	-	-
ɣ	-	-	+	-	+	+	-	n	-	-	-	.	n	+	-	-	-	+	-	-	.	-	-
ɣʰ	-	-	+	-	+	+	-	n	-	-	+	+	n	+	-	-	-	+	-	-	.	-	-
ɣʲ	-	-	+	-	+	+	-	n	-	-	-	.	n	+	-	-	-	-	-	-	.	-	-
ɣʷ	-	-	+	-	+	+	-	n	-	-	-	.	n	+	-	-	-	+	+	+	.	-	-
ɣʼ	-	-	+	-	+	+	+	n	-	-	-	+	n	+	-	-	-	+	-	-	.	-	-
ɣː	-	-	+	-	+	+	-	n	-	-	-	.	n	+	-	-	-	+	-	-	.	+	-
ɣ̀	-	-	+	-	+	+	-	n	-	-	-	+	n	+	-	-	-	+	-	-	.	-	-
ɣ͡β	-	-	+	-	+	+	-	n	-	-	-	.	n	+	-	+	-	+	-	+	.	-	-
ɤ	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	+	-	-	n	-	-
ɤː	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	+	-	-	n	+	-
ɥ	-	-	-	+	+	+	-	n	-	-	-	.	n	+	-	-	-	-	+	+	.	-	-
ɥ̥	-	-	-	+	+	-	-	n	-	-	+	.	n	+	-	-	-	-	+	+	.	-	-
ɦ	-	-	-	+	+	+	-	n	-	-	-	.	n	-	+	-	-	-	-	-	.	-	-
ɦʲ	-	-	-	+	+	+	-	n	-	-	-	.	n	+	+	-	-	-	-	-	.	-	-
ɦʷ	-	-	-	+	+	+	-	n	-	-	-	.	n	-	+	-	-	-	+	+	.	-	-
ɦ̃	-	-	-	+	+	+	-	n	+	-	-	-	n	-	+	-	-	-	-	-	.	-	-
ɨ	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	+	-	-	n	-	-
ɨʔɨ	+	+	-	+	+	+	+	n	-	-	-	+	+	+	-	-	-	+	-	-	n	-	-
ɨː	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	+	-	-	n	+	-
ɨːː	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	+	-	-	n	+	+
ɨ˞	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	+	+	-	-	n	-	-
ɨ̃	+	+	-	+	+	+	-	n	+	-	-	+	+	+	-	-	-	+	-	-	n	-	-
ɨ̃ʔɨ̃	+	+	-	+	+	+	+	n	+	-	-	+	+	+	-	-	-	+	-	-	n	-	-
ɨ̃ː	+	+	-	+	+	+	-	n	+	-	-	+	+	+	-	-	-	+	-	-	n	+	-
ɨ̞	+	+	-	+	+	+	-	n	-	-	-	-	-	+	-	-	-	+	-	-	n	-	-
ɪ	+	+	-	+	+	+	-	n	-	-	-	-	-	+	-	-	-	-	-	-	n	-	-
ɪɛ	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	-	-	-	n	+	-
ɪː	+	+	-	+	+	+	-	n	-	-	-	-	-	+	-	-	-	-	-	-	n	+	-
ɪ̃	+	+	-	+	+	+	-	n	+	-	-	-	-	+	-	-	-	-	-	-	n	-	-
ɪ̃ː	+	+	-	+	+	+	-	n	+	-	-	-	-	+	-	-	-	-	-	-	n	+	-
ɪ̘	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	-	-	-	n	-	-
ɪ̥	+	-	-	+	+	-	-	n	-	-	+	-	-	+	-	-	-	-	-	-	n	-	-
ɬ	-	-	+	-	+	-	-	+	-	-	-	.	n	-	-	+	+	-	-	-	.	-	-
ɬʷ	-	-	+	-	+	-	-	+	-	-	-	.	n	-	-	+	+	-	+	+	.	-	-
ɬʼ	-	-	+	-	+	-	+	+	-	-	-	+	n	-	-	+	+	-	-	-	.	-	-
ɬ̀	-	-	+	-	+	-	-	+	-	-	-	+	n	-	-	+	+	-	-	-	.	-	-
ɭ	-	+	+	+	-	+	-	+	-	-	-	.	n	-	-	-	+	-	-	-	-	-	-
ɮ	-	-	+	-	+	+	-	+	-	-	-	.	n	-	-	+	+	-	-	-	.	-	-
ɯ	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	+	-	-	n	-	-
ɯə	+	+	-	+	+	+	-	n	-	-	-	+	+	.	-	-	-	+	-	-	n	+	-
ɯː	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	+	-	-	n	+	-
ɯ̃	+	+	-	+	+	+	-	n	+	-	-	+	+	+	-	-	-	+	-	-	n	-	-
ɰ	-	-	-	+	+	+	-	n	-	-	-	.	n	+	-	-	-	+	-	-	.	-	-
ɰʼ	-	-	-	+	+	+	+	n	-	-	-	+	n	+	-	-	-	+	-	-	.	-	-
ɱ̥f	-	-	+	-	+	-	-	n	.	+	-	.	n	-	-	+	-	-	-	+	-	-	-
ɲ	-	-	+	+	-	+	-	n	+	-	-	-	n	+	-	-	-	-	-	-	.	-	-
ɲɥ	-	-	+	+	-	+	-	n	+	-	-	-	n	+	-	-	-	-	+	+	.	-	-
ɲʰ	-	-	+	+	-	+	-	n	+	-	+	+	n	+	-	-	-	-	-	-	.	-	-
ɲː	-	-	+	+	-	+	-	n	+	-	-	-	n	+	-	-	-	-	-	-	.	+	-
ɲ̥	-	-	+	+	-	-	-	n	+	-	-	-	n	+	-	-	-	-	-	-	.	-	-
ɲ̥cʃ	-	-	+	-	-	-	-	-	.	+	-	.	n	+	-	-	.	-	-	-	+	-	-
ɲ̥ʃ	-	-	+	-	+	-	-	-	.	+	-	.	n	+	-	-	+	-	-	-	+	-	-
ɲ̥ʰ	-	-	+	+	-	-	-	n	+	-	+	+	n	+	-	-	-	-	-	-	.	-	-
ɲ͡n̪	-	-	+	+	-	+	-	-	+	-	-	-	n	.	-	-	.	-	-	-	+	-	-
ɲ͡ŋ	-	-	+	+	-	+	-	n	+	-	-	-	n	+	-	-	-	.	-	-	+	-	-
ɲ͡ŋw	-	-	+	+	-	+	-	n	+	-	-	-	n	+	-	-	-	.	+	+	+	-	-
ɳ	-	-	+	+	-	+	-	-	+	-	-	-	n	-	-	-	+	-	-	-	-	-	-
ɳɖɽ	-	-	+	-	-	+	-	-	+	-	-	-	n	-	-	-	+	-	-	-	-	-	-
ɳʷ	-	-	+	+	-	+	-	-	+	-	-	-	n	-	-	-	+	-	+	+	-	-	-
ɴ	-	-	+	+	-	+	-	n	+	-	-	-	n	-	-	-	-	+	-	-	.	-	-
ɴʼ	-	-	+	+	-	+	+	n	+	-	-	+	n	-	-	-	-	+	-	-	.	-	-
ɵ	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	+	+	+	n	-	-
ɸ	-	-	+	-	+	-	-	n	-	-	-	.	n	-	-	+	-	-	-	+	+	-	-
ɹ	-	+	+	+	+	+	-	-	-	-	-	.	n	-	-	+	+	-	-	-	-	-	-
ɹː	-	+	+	+	+	+	-	-	-	-	-	.	n	-	-	+	+	-	-	-	-	+	-
ɺ	-	+	+	+	-	+	-	+	-	-	-	.	n	-	-	+	+	.	-	-	.	-	-
ɻ	-	-	-	+	+	+	-	-	-	-	-	.	n	-	-	-	+	-	-	-	-	-	-
ɽ	-	+	+	+	-	+	-	-	-	-	-	.	n	-	-	-	+	-	-	-	-	-	-
ɽʰ	-	+	+	+	-	+	-	-	-	-	+	+	n	-	-	-	+	-	-	-	-	-	-
ɾ	-	+	+	+	-	+	-	-	-	-	-	.	n	-	-	+	+	-	-	-	-	-	-
ɾð	-	+	+	+	-	+	-	-	-	-	-	.	n	-	-	+	+	-	-	-	.	-	-
ɾʲ	-	+	+	+	-	+	-	-	-	-	-	.	n	+	-	+	+	-	-	-	-	-	-
ɾˡ	-	+	+	+	-	+	-	+	-	-	-	.	n	-	-	+	+	-	-	-	-	-	-
ɾˤ	-	+	+	+	-	+	-	-	-	-	-	.	n	-	+	+	+	+	-	-	-	-	-
ɾ̃	-	+	+	+	-	+	-	-	+	-	-	-	n	-	-	+	+	-	-	-	-	-	-
ɾ̪	-	+	+	+	-	+	-	-	-	-	-	.	n	-	-	+	+	-	-	-	+	-	-
ɾ̪ˤ	-	+	+	+	-	+	-	-	-	-	-	.	n	-	+	+	+	+	-	-	+	-	-
ʀ	-	+	+	+	+	+	-	n	-	-	-	.	n	-	-	-	-	+	-	-	.	-	-
ʀʼ	-	+	+	+	+	+	+	n	-	-	-	+	n	-	-	-	-	+	-	-	.	-	-
ʁ	-	-	+	-	+	+	-	n	-	-	-	.	n	-	-	-	-	+	-	-	.	-	-
ʁʲ	-	-	+	-	+	+	-	n	-	-	-	.	n	+	-	-	-	-	-	-	.	-	-
ʁʷ	-	-	+	-	+	+	-	n	-	-	-	.	n	-	-	-	-	+	+	+	.	-	-
ʁː	-	-	+	-	+	+	-	n	-	-	-	.	n	-	-	-	-	+	-	-	.	+	-
ʁˤ	-	-	+	-	+	+	-	n	-	-	-	.	n	-	+	-	-	+	-	-	.	-	-
ʁˤʷ	-	-	+	-	+	+	-	n	-	-	-	.	n	-	+	-	-	+	+	+	.	-	-
ʂ	-	-	+	-	+	-	-	-	-	+	-	.	n	-	-	-	+	-	-	-	-	-	-
ʂʰ	-	-	+	-	+	-	-	-	-	+	+	+	n	-	-	-	+	-	-	-	-	-	-
ʃ	-	-	+	-	+	-	-	-	-	+	-	.	n	+	-	-	+	-	-	-	+	-	-
ʃtʃ	-	-	+	-	-	-	-	-	-	-	-	.	n	+	-	-	+	-	-	-	+	-	-
ʃʲ	-	-	+	-	+	-	-	-	-	+	-	.	n	+	-	-	+	-	-	-	+	-	-
ʃʷ	-	-	+	-	+	-	-	-	-	+	-	.	n	+	-	-	+	-	+	+	+	-	-
ʃʼ	-	-	+	-	+	-	+	-	-	+	-	+	n	+	-	-	+	-	-	-	+	-	-
ʃʼʷ	-	-	+	-	+	-	+	-	-	+	-	+	n	-	-	+	+	-	+	+	-	-	-
ʃː	-	-	+	-	+	-	-	-	-	+	-	.	n	+	-	-	+	-	-	-	+	+	-
ʃ̀	-	-	+	-	+	-	-	-	-	+	-	+	n	+	-	-	+	-	-	-	+	-	-
ʃ̥ʷ	-	-	+	-	+	-	-	-	-	+	-	.	n	+	-	-	+	-	+	+	+	-	-
ʃ͡kʷ	-	-	+	-	-	-	-	-	-	-	-	.	n	+	-	-	+	.	+	+	+	-	-
ʄ	-	-	+	-	-	+	+	n	-	-	-	.	n	+	-	-	-	-	-	-	.	-	-
ʄ̥	-	-	+	-	-	-	+	n	-	-	-	.	n	+	-	-	-	-	-	-	.	-	-
ʈ	-	-	+	-	-	-	-	-	-	-	-	.	n	-	-	-	+	-	-	-	-	-	-
ʈɽ	-	-	+	-	-	-	-	-	-	-	-	.	n	-	-	-	+	-	-	-	-	-	-
ʈʂ	-	-	+	-	-	-	-	-	-	+	-	.	n	-	-	-	+	-	-	-	-	-	-
ʈʂʰ	-	-	+	-	-	-	-	-	-	+	+	+	n	-	-	-	+	-	-	-	-	-	-
ʈʂʼ	-	-	+	-	-	-	+	-	-	+	-	+	n	-	-	-	+	-	-	-	-	-	-
ʈʰ	-	-	+	-	-	-	-	-	-	-	+	+	n	-	-	-	+	-	-	-	-	-	-
ʈʲ	-	-	+	-	-	-	-	-	-	-	-	.	n	-	-	-	+	-	-	-	-	-	-
ʈʲʰ	-	-	+	-	-	-	-	-	-	-	+	+	n	+	-	-	+	-	-	-	-	-	-
ʈⁿ	-	-	+	-	-	-	-	-	+	-	-	.	n	-	-	-	+	-	-	-	-	-	-
ʉ	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	+	+	+	n	-	-
ʉ̃ⁿ	+	+	-	+	+	+	-	n	+	-	-	+	+	+	-	-	-	+	+	+	n	-	-
ʉ̟ː	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	+	+	+	n	+	-
ʊ	+	+	-	+	+	+	-	n	-	-	-	-	-	+	-	-	-	+	+	+	n	-	-
ʊɔ	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	+	+	+	n	+	-
ʊʏ̯	+	+	-	+	+	+	-	n	-	-	-	-	-	+	-	-	-	.	.	-	n	+	-
ʊː	+	+	-	+	+	+	-	n	-	-	-	-	-	+	-	-	-	+	+	+	n	+	-
ʊ̃	+	+	-	+	+	+	-	n	+	-	-	-	-	+	-	-	-	+	+	+	n	-	-
ʊ̃ː	+	+	-	+	+	+	-	n	+	-	-	-	-	+	-	-	-	+	+	+	n	+	-
ʊ̘	+	+	-	+	+	+	-	n	-	-	-	+	+	+	-	-	-	+	+	+	n	-	-
ʊ̥	+	-	-	+	+	-	-	n	-	-	+	-	-	+	-	-	-	+	+	+	n	-	-
ʋ	-	-	-	+	+	+	-	n	-	-	-	.	n	-	-	+	-	-	-	+	-	-	-
ʋ*	-	-	-	+	+	+	-	n	-	-	-	-	n	-	-	+	-	-	-	+	-	-	-
ʋʰ	-	-	-	+	+	+	-	n	-	-	-	+	n	-	-	+	-	-	-	+	-	-	-
ʋʲ	-	-	-	+	+	+	-	n	-	-	-	.	n	+	-	+	-	-	-	+	-	-	-
ʋ̃	-	-	-	+	+	+	-	n	+	-	-	-	n	-	-	+	-	-	-	+	-	-	-
ʌ	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	+	-	-	n	-	-
ʌː	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	+	-	-	n	+	-
ʌ̃	+	+	-	+	+	+	-	n	+	-	-	-	-	-	-	-	-	+	-	-	n	-	-
ʌ̃ː	+	+	-	+	+	+	-	n	+	-	-	-	-	-	-	-	-	+	-	-	n	+	-
ʌ̆	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	+	-	-	n	-	+
ʌ̝	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	+	-	-	n	-	-
ʌ̤	+	+	-	+	+	+	-	n	-	-	+	-	-	-	-	-	-	+	-	-	n	-	-
ʌ̤ː	+	+	-	+	+	+	-	n	-	-	+	-	-	-	-	-	-	+	-	-	n	+	-
ʍ	-	-	-	+	+	-	-	n	-	-	+	.	n	+	-	+	-	+	-	+	.	-	-
ʎ	-	+	+	+	+	+	-	n	-	-	-	.	n	+	-	-	-	-	-	-	-	-	-
ʎ̥	-	-	+	+	+	-	-	n	-	-	-	.	n	+	-	-	-	-	-	-	-	-	-
ʏ	+	+	-	+	+	+	-	n	-	-	-	-	-	+	-	-	-	-	+	+	n	-	-
ʐ	-	-	+	-	+	+	-	-	-	+	-	.	n	-	-	-	+	-	-	-	-	-	-
ʑ	-	-	+	-	+	+	-	-	-	+	-	.	n	+	-	-	+	-	-	-	+	-	-
ʒ	-	-	+	-	+	+	-	-	-	+	-	.	n	+	-	-	+	-	-	-	+	-	-
ʒʰ	-	-	+	-	+	+	-	-	-	+	+	+	n	+	-	-	+	-	-	-	+	-	-
ʒʲ	-	-	+	-	+	+	-	-	-	+	-	.	n	+	-	-	+	-	-	-	+	-	-
ʒʷ	-	-	+	-	+	+	-	-	-	+	-	.	n	+	-	-	+	-	+	+	+	-	-
ʒː	-	-	+	-	+	+	-	-	-	+	-	.	n	+	-	-	+	-	-	-	+	+	-
ʒ̤	-	-	+	-	+	+	-	-	-	+	-	.	n	+	-	-	+	-	-	-	+	-	-
ʒ̥	-	-	+	-	+	+	-	-	-	+	-	.	n	+	-	-	+	-	-	-	+	-	-
ʒ̥ʷ	-	-	+	-	+	+	-	-	-	+	-	.	n	+	-	-	+	-	+	+	+	-	-
ʒ͡ɣw	-	-	+	-	+	+	-	-	-	.	-	.	n	+	-	-	+	.	+	+	+	-	-
ʔ	-	-	-	+	-	-	+	n	-	-	+	.	n	-	+	-	-	-	-	-	.	-	-
ʔb	-	-	+	-	-	+	+	n	-	-	-	+	n	-	-	+	-	-	-	+	+	-	-
ʔd	-	-	+	-	-	+	+	-	-	-	-	+	n	-	-	+	+	-	-	-	-	-	-
ʔj	-	-	-	+	+	+	+	n	-	-	-	+	n	+	-	-	-	-	-	-	.	-	-
ʔk	-	-	+	-	-	-	+	n	-	-	-	+	n	+	-	-	-	+	-	-	.	-	-
ʔl	-	+	+	+	-	+	-	+	-	-	-	+	n	-	-	+	+	-	-	-	-	-	-
ʔm	-	-	+	+	-	+	+	n	+	-	-	+	n	-	-	+	-	-	-	+	+	-	-
ʔn	-	-	+	+	-	+	+	-	+	-	-	+	n	-	-	+	+	-	-	-	-	-	-
ʔp	-	-	+	-	-	-	+	n	-	-	-	+	n	-	-	+	-	-	-	+	+	-	-
ʔt	-	-	+	-	-	-	+	-	-	-	-	+	n	-	-	+	+	-	-	-	-	-	-
ʔw	-	-	-	+	+	+	+	n	-	-	-	.	n	+	-	+	-	+	-	+	.	-	-
ʔǀn	-	-	+	-	-	-	+	-	+	-	-	+	n	+	-	+	+	+	-	-	+	-	-
ʔǁn	-	-	+	-	-	-	+	+	+	-	-	+	n	+	-	+	+	+	-	-	.	-	-
ʔǂn	-	-	+	-	-	-	+	-	+	-	-	+	n	+	-	-	+	+	-	-	+	-	-
ʔǃn	-	-	+	-	-	-	+	-	+	-	-	+	n	+	-	+	+	+	-	-	-	-	-
ʔʘn	-	-	+	-	-	-	+	-	+	-	-	+	n	+	-	+	+	+	-	-	-	-	-
ʔʷ	-	-	-	+	-	-	+	n	-	-	+	+	n	-	+	-	-	-	+	+	.	-	-
ʔˤ	-	-	-	+	-	-	+	n	-	-	+	.	n	.	+	.	-	+	-	-	.	-	-
ʕ	-	-	+	-	+	+	-	n	-	-	-	.	n	-	+	-	-	+	-	-	.	-	-
ʕʷ	-	-	+	-	+	+	-	n	-	-	-	.	n	-	+	-	-	+	+	+	.	-	-
ʕʼ	-	-	+	-	+	+	+	n	-	-	-	+	n	-	+	-	-	+	-	-	.	-	-
ʕʼʷ	-	-	+	-	+	+	+	n	-	-	-	+	n	-	+	-	-	+	+	+	.	-	-
ʘ	-	-	+	-	-	-	-	n	-	-	-	n	n	+	-	+	-	+	-	+	+	-	-
ʘkxʔ	-	-	+	-	-	-	+	n	-	-	-	+	n	+	-	+	-	+	-	+	+	-	-
ʘn	-	-	+	-	-	-	-	n	+	-	-	.	n	+	-	+	-	+	-	+	+	-	-
ʘn̥	-	-	+	-	-	-	-	n	+	-	-	n	n	+	-	+	-	+	-	+	+	-	-
ʘq	-	-	+	-	-	-	-	n	-	-	-	n	n	+	-	+	-	+	-	+	+	-	-
ʘqʔ	-	-	+	-	-	-	+	n	-	-	-	+	n	+	-	+	-	+	-	+	+	-	-
ʘqʰ	-	-	+	-	-	-	-	n	-	-	+	n	n	+	-	+	-	+	-	+	+	-	-
ʘx	-	-	+	-	-	-	-	n	-	-	-	n	n	+	-	+	-	+	-	+	+	-	-
ʘʔ	-	-	+	-	-	-	+	n	-	-	-	+	n	+	-	+	-	+	-	+	+	-	-
ʘʰ	-	-	+	-	-	-	-	n	-	-	+	+	n	+	-	+	-	+	-	+	+	-	-
ʛ	-	-	+	-	-	+	+	n	-	-	-	.	n	-	-	-	-	+	-	-	.	-	-
ʝ	-	-	+	-	+	+	-	n	-	-	-	.	n	+	-	-	-	-	-	-	.	-	-
ʝʼ	-	-	+	-	+	+	+	n	-	-	-	+	n	+	-	-	-	-	-	-	.	-	-
β	-	-	+	-	+	+	-	n	-	-	-	.	n	-	-	+	-	-	-	+	+	-	-
βm	-	-	+	.	+	+	-	n	+	-	-	-	n	-	-	+	-	-	-	+	+	-	-
θ	-	-	+	-	+	-	-	-	-	-	-	.	n	-	-	+	+	-	-	-	.	-	-
θʼ	-	-	+	-	+	-	+	.	-	-	-	+	n	.	.	+	+	.	-	-	.	-	-
χ	-	-	+	-	+	-	-	n	-	-	-	.	n	-	-	-	-	+	-	-	.	-	-
χʲ	-	-	+	-	+	-	-	n	-	-	-	.	n	+	-	-	-	-	-	-	.	-	-
χʷ	-	-	+	-	+	-	-	n	-	-	-	.	n	-	-	-	-	+	+	+	.	-	-
χː	-	-	+	-	+	-	-	n	-	-	-	.	n	-	-	-	-	+	-	-	.	+	-
χˤ	-	-	+	-	+	-	-	n	-	-	-	.	n	-	+	-	-	+	-	-	.	-	-
χˤʷ	-	-	+	-	+	-	-	n	-	-	-	.	n	-	+	-	-	+	+	+	.	-	-
χ̀	-	-	+	-	+	-	-	n	-	-	-	+	n	-	-	-	-	+	-	-	.	-	-
χ̀ʷ	-	-	+	-	+	-	-	n	-	-	-	+	n	-	-	-	-	+	+	+	.	-	-
ⁿc	-	-	+	-	-	-	-	n	+	-	-	.	n	+	-	-	-	-	-	-	.	-	-
ⁿd	-	-	+	-	-	+	-	-	+	-	-	-	n	-	-	+	+	-	-	-	-	-	-
ⁿdl	-	-	+	-	-	+	-	+	+	-	-	.	n	-	-	+	+	-	-	-	-	-	-
ⁿdlʼ	-	-	+	-	-	+	+	+	+	-	-	+	n	-	-	+	+	-	-	-	-	-	-
ⁿdz	-	-	+	-	-	+	-	-	+	+	-	-	n	-	-	+	+	-	-	-	-	-	-
ⁿdɮ	-	-	+	-	-	+	-	+	+	-	-	-	n	-	-	+	+	-	-	-	.	-	-
ⁿdʒ	-	-	+	-	-	+	-	-	+	+	-	-	n	+	-	-	+	-	-	-	+	-	-
ⁿdʲ	-	-	+	-	-	+	-	-	+	-	-	-	n	+	-	+	+	-	-	-	-	-	-
ⁿdʷ	-	-	+	-	-	+	-	-	+	-	-	-	n	-	-	+	+	-	+	+	-	-	-
ⁿd̪	-	-	+	-	-	+	-	-	+	-	-	-	n	-	-	+	+	-	-	-	+	-	-
ⁿdβ	-	-	+	-	-	+	-	-	+	-	-	-	n	-	-	+	.	-	-	.	.	-	-
ⁿgʷ	-	-	+	-	-	+	-	n	+	-	-	-	n	+	-	-	-	+	+	+	.	-	-
ⁿk	-	-	+	-	-	+	-	n	+	-	-	-	n	+	-	-	-	+	-	-	.	-	-
ⁿr	-	+	+	+	+	+	-	-	+	-	-	-	n	-	-	+	+	-	-	-	-	-	-
ⁿs	-	-	+	-	+	-	-	-	+	+	-	.	n	-	-	+	+	-	-	-	-	-	-
ⁿt	-	-	+	-	-	-	-	-	+	-	-	.	n	-	-	+	+	-	-	-	-	-	-
ⁿts	-	-	+	-	-	-	-	-	+	+	-	.	n	-	-	+	+	-	-	-	-	-	-
ⁿtsʼ	-	-	+	-	-	-	+	-	+	+	-	+	n	-	-	+	+	-	-	-	-	-	-
ⁿtɬ	-	-	+	-	-	-	-	+	+	-	-	.	n	-	-	+	+	-	-	-	.	-	-
ⁿtɸ	-	-	+	-	-	-	-	-	+	-	-	.	n	-	-	+	.	-	-	.	.	-	-
ⁿtʃ	-	-	+	-	-	-	-	-	+	+	-	.	n	+	-	-	+	-	-	-	+	-	-
ⁿtʃʰʷ	-	-	+	-	-	-	-	-	+	+	+	+	n	+	-	-	+	-	+	+	+	-	-
ⁿtʃʷ	-	-	+	-	-	-	-	-	+	+	-	.	n	+	-	-	+	-	+	+	+	-	-
ⁿtʃʼ	-	-	+	-	-	-	+	-	+	+	-	+	n	+	-	-	+	-	-	-	+	-	-
ⁿtʰ	-	-	+	-	-	-	-	-	+	-	+	+	n	-	-	+	+	-	-	-	-	-	-
ⁿz	-	-	+	-	+	+	-	-	+	+	-	-	n	-	-	+	+	-	-	-	-	-	-
ⁿǀ	-	-	+	-	-	-	-	-	+	-	-	n	n	+	-	+	+	+	-	-	+	-	-
ⁿɖ	-	-	+	-	-	+	-	-	+	-	-	-	n	-	-	-	+	-	-	-	-	-	-
ⁿɟ	-	-	+	-	-	+	-	n	+	-	-	-	n	+	-	-	-	-	-	-	.	-	-
ⁿɬ	-	-	+	-	+	-	-	+	+	-	-	.	n	-	-	+	+	-	-	-	.	-	-
ⁿɮ	-	-	+	-	+	+	-	+	+	-	-	-	n	-	-	+	+	-	-	-	.	-	-
ⁿʃ	-	-	+	-	+	-	-	-	+	+	-	.	n	+	-	-	+	-	-	-	+	-	-
ⁿʒ	-	-	+	-	+	+	-	-	+	+	-	-	n	+	-	-	+	-	-	-	+	-	-
b	-	-	+	-	-	+	-	n	+	-	-	-	n	-	-	+	-	-	-	+	+	-	-
bʲ	-	-	+	-	-	+	-	n	+	-	-	-	n	+	-	+	-	-	-	+	+	-	-
bʷ	-	-	+	-	-	+	-	n	+	-	-	-	n	-	-	+	-	-	+	+	+	-	-
d	-	-	+	-	-	+	-	-	+	-	-	-	n	-	-	+	+	-	-	-	-	-	-
dz	-	-	+	-	-	+	-	-	+	+	-	-	n	-	-	+	+	-	-	-	-	-	-
dʒ	-	-	+	-	-	+	-	-	+	+	-	-	n	+	-	-	+	-	-	-	+	-	-
f	-	-	+	-	+	-	-	n	+	+	-	.	n	-	-	+	-	-	-	+	-	-	-
g	-	-	+	-	-	+	-	n	+	-	-	-	n	+	-	-	-	+	-	-	.	-	-
g͡b	-	-	+	-	-	+	-	n	+	-	-	-	n	+	-	+	-	+	-	+	.	-	-
k͡p	-	-	+	-	-	-	-	n	+	-	-	.	n	+	-	+	-	+	-	+	.	-	-
l	-	+	+	+	-	+	-	+	+	-	-	-	n	-	-	+	+	-	-	-	-	-	-
p	-	-	+	-	-	-	-	n	+	-	-	.	n	-	-	+	-	-	-	+	+	-	-
pʰ	-	-	+	-	-	-	-	n	+	-	+	+	n	-	-	+	-	-	-	+	+	-	-
pʼ	-	-	+	-	-	-	+	n	+	-	-	+	n	-	-	+	-	-	-	+	+	-	-
t	-	-	+	-	-	-	-	-	+	-	-	.	n	-	-	+	+	-	-	-	-	-	-
ts	-	-	+	-	-	-	-	-	+	+	-	.	n	-	-	+	+	-	-	-	-	-	-
tʃ	-	-	+	-	-	-	-	-	+	+	-	.	n	+	-	-	+	-	-	-	+	-	-
v	-	-	+	-	+	+	-	n	+	.	-	-	n	-	-	+	-	-	-	+	.	-	-
ɬ	-	-	+	-	+	-	-	+	+	-	-	.	n	-	-	+	+	-	-	-	.	-	-
ɲ	-	-	+	+	-	+	-	n	+	-	-	-	n	+	-	-	-	-	-	-	.	-	-
ʃ	-	-	+	-	+	-	-	-	+	+	-	.	n	+	-	-	+	-	-	-	+	-	-
b	-	-	+	-	-	+	-	n	+	-	-	.	n	-	-	+	-	-	-	+	+	-	-
c	-	-	+	-	-	-	-	n	+	-	-	.	n	+	-	-	-	-	-	-	.	-	-
g	-	-	+	-	-	+	-	n	+	-	-	-	n	+	-	-	-	+	-	-	.	-	-
gʷ	-	-	+	-	-	+	-	n	+	-	-	-	n	+	-	-	-	+	+	+	.	-	-
g͡b	-	-	+	-	-	+	-	n	+	-	-	.	n	+	-	+	-	+	-	+	.	-	-
k	-	-	+	-	-	-	-	n	+	-	-	.	n	+	-	-	-	+	-	-	.	-	-
kʰ	-	-	+	-	-	-	-	n	+	-	+	+	n	+	-	-	-	+	-	-	.	-	-
g͡b	-	-	+	-	-	+	-	n	+	-	-	-	n	+	-	+	-	+	-	+	.	-	-
