GRAPHEME	tone	stress	syllabic	short	long	consonantal	sonorant	continuant	delayedRelease	approximant	tap	trill	nasal	lateral	labial	round	labiodental	coronal	anterior	distributed	strident	dorsal	high	low	front	back	tense	retractedTongueRoot	advancedTongueRoot	periodicGlottalSource	epilaryngealSource	spreadGlottis	constrictedGlottis	fortis	lenis	raisedLarynxEjective	loweredLarynxImplosive	click
cʰː	.	-	-	-	+	+	-	-	-	-	-	-	-	-	-	.	.	+	-	+	-	+	+	-	+	-	.	-	-	-	-	+	-	-	-	-	-	-
cʲ	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	-	+	-	+	+	-	+	-	.	-	-	-	-	-	-	-	-	-	-	-
cʷ	.	-	-	-	-	+	-	-	-	-	-	-	-	-	.	+	-	+	-	+	-	+	+	-	+	-	.	-	-	-	-	-	-	-	-	-	-	-
cʷʰ	.	-	-	-	-	+	-	-	-	-	-	-	-	-	.	+	-	+	-	+	-	+	+	-	+	-	.	-	-	-	-	+	-	-	-	-	-	-
cʼ	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	-	+	-	+	+	-	+	-	.	-	-	-	-	-	+	-	-	+	-	-
cʼː	.	-	-	-	+	+	-	-	-	-	-	-	-	-	-	.	.	+	-	+	-	+	+	-	+	-	.	-	-	-	-	-	+	-	-	+	-	-
cˀ	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	-	+	-	+	+	-	+	-	.	-	-	-	-	-	+	-	-	-	-	-
cː	.	-	-	-	+	+	-	-	-	-	-	-	-	-	-	.	.	+	-	+	-	+	+	-	+	-	.	-	-	-	-	-	-	-	-	-	-	-
c̟	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	+	-	+	+	-	+	-	.	-	-	-	-	-	-	-	-	-	-	-
c̠	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	-	+	-	+	+	-	+	-	.	-	-	-	-	-	-	-	-	-	-	-
c̤	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	-	+	-	+	+	-	+	-	.	-	-	+	-	+	-	-	-	-	-	-
ç	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	+	-	+	-	+	+	-	+	-	.	-	-	-	-	-	-	-	-	-	-	-
çʰ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	+	-	+	-	+	+	-	+	-	.	-	-	-	-	+	-	-	-	-	-	-
çʲ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	+	-	+	-	+	+	-	+	-	.	-	-	-	-	-	-	-	-	-	-	-
çʷ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	.	+	-	+	-	+	-	+	+	-	+	-	.	-	-	-	-	-	-	-	-	-	-	-
çː	.	-	-	-	+	+	-	+	+	-	-	-	-	-	-	.	.	+	-	+	-	+	+	-	+	-	.	-	-	-	-	-	-	-	-	-	-	-
ç̟	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	+	+	+	-	+	+	-	+	-	.	-	-	-	-	-	-	-	-	-	-	-
c̰	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	-	+	-	+	+	-	+	-	.	-	-	+	-	-	+	-	-	-	-	-
c̻	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	-	+	-	+	+	-	+	-	.	-	-	-	-	-	-	-	-	-	-	-
c̻̟	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	+	-	+	+	-	+	-	.	-	-	-	-	-	-	-	-	-	-	-
d	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
dl	.	-	-	-	-	+	.	.	-	.	-	-	-	.	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
dlʷ	.	-	-	-	-	+	.	.	-	.	-	-	-	.	.	+	-	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
dn	.	-	-	-	-	+	.	-	-	-	-	-	.	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
dr	.	-	-	-	-	+	.	.	-	.	-	.	-	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
dx	.	-	-	-	-	+	-	.	.	-	-	-	-	-	-	.	.	.	+	-	-	.	+	-	-	-	.	-	-	.	-	-	-	-	-	-	-	-
dz	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	+	-	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
dzʱ	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	+	-	+	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
dzʲ	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	+	-	+	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
dzʷ	.	-	-	-	-	+	-	-	+	-	-	-	-	-	.	+	-	+	+	-	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
dzʼ	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	+	-	+	-	.	.	.	.	.	-	-	-	-	-	+	-	-	+	-	-
dzː	.	-	-	-	+	+	-	-	+	-	-	-	-	-	-	.	.	+	+	-	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
dzˠ	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	+	-	+	.	+	-	-	-	.	-	-	+	-	-	-	-	-	-	-	-
dz̤	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	+	-	+	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
dz̪	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	+	+	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
dz̺	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	+	-	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
dz̻	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	+	+	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
dɮ	.	-	-	-	-	+	-	.	.	-	-	-	-	.	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
dɾ	.	-	-	-	-	+	.	.	-	.	.	-	-	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
dʑ	.	-	-	-	-	+	-	.	.	-	-	-	-	-	-	.	.	+	+	.	.	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
dʑʱ	.	-	-	-	-	+	-	.	.	-	-	-	-	-	-	.	.	+	+	.	.	.	+	-	+	-	.	-	-	+	-	.	-	-	-	-	-	-
dʑʱː	.	-	-	-	.	+	-	.	.	-	-	-	-	-	-	.	.	+	+	.	.	.	+	-	+	-	.	-	-	+	-	.	-	-	-	-	-	-
dʑː	.	-	-	-	.	+	-	.	.	-	-	-	-	-	-	.	.	+	+	.	.	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
dʑᶣ	.	-	-	-	-	+	-	.	.	-	-	-	-	-	.	+	-	+	+	.	.	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
dʱ	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
dʲ	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	-	-	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
dʷ	.	-	-	-	-	+	-	-	-	-	-	-	-	-	.	+	-	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
dʷʲ	.	-	-	-	-	+	-	-	-	-	-	-	-	-	.	+	-	+	+	-	-	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
dʼ	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	-	-	-	+	-	-	+	-	-
dʼkxʼ	.	-	-	-	-	+	-	-	.	-	-	-	-	-	-	.	.	.	+	-	-	.	+	-	-	-	.	-	-	-	-	-	+	-	-	+	-	-
dˀ	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	+	-	-	-	-	-
dː	.	-	-	-	+	+	-	-	-	-	-	-	-	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
dˠ	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	-	-	.	+	-	-	-	.	-	-	+	-	-	-	-	-	-	-	-
dˤ	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	-	-	-	.	.	.	.	.	.	-	+	-	-	-	-	-	-	-	-
dˤː	.	-	-	-	+	+	-	-	-	-	-	-	-	-	-	.	.	+	+	-	-	-	.	.	.	.	.	.	-	+	-	-	-	-	-	-	-	-
d̙ˤ	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	-	-	-	.	.	.	.	.	+	-	+	-	-	-	-	-	-	-	-
d̞	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
d̟	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
d̟z̟	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	+	-	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
d̟ʑ̟	.	-	-	-	-	+	-	.	.	-	-	-	-	-	-	.	.	+	+	.	.	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
d̟ʒ̟	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	+	+	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
d̟ːʑ̟	.	-	-	-	.	+	-	.	.	-	-	-	-	-	-	.	.	+	+	.	.	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
d̠	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	-	+	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
d̠z̠ʲ	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	-	+	+	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
d̠ʒ	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	-	+	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
d̠ʒxʼ	.	-	-	-	-	+	-	.	+	-	-	-	-	-	-	.	.	.	-	+	+	.	+	-	-	-	.	-	-	.	-	-	.	-	-	.	-	-
d̠ʒɾ	.	-	-	-	-	+	.	.	+	.	.	-	-	-	-	.	.	+	.	.	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
d̠ʒʰ	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	-	+	+	-	.	.	.	.	.	-	-	-	-	+	-	-	-	-	-	-
d̠ʒʱ	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	-	+	+	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
d̠ʒʲ	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	-	+	+	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
d̠ʒʷ	.	-	-	-	-	+	-	-	+	-	-	-	-	-	.	+	-	+	-	+	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
d̠ʒʼ	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	-	+	+	-	.	.	.	.	.	-	-	-	-	-	+	-	-	+	-	-
d̠ʒː	.	-	-	-	+	+	-	-	+	-	-	-	-	-	-	.	.	+	-	+	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
d̠ʒˠ	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	-	+	+	.	+	-	-	-	.	-	-	+	-	-	-	-	-	-	-	-
d̠ʒ̤	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	-	+	+	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
d̠ʒ̤ː	.	-	-	-	+	+	-	-	+	-	-	-	-	-	-	.	.	+	-	+	+	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
d̠ʓ	.	-	-	-	-	+	-	.	.	-	-	-	-	-	-	.	.	+	-	+	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
d̠ʓʷ	.	-	-	-	-	+	-	.	.	-	-	-	-	-	.	+	-	+	-	+	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
d̠ʲ	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	-	+	-	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
d̠ːʒ	.	-	-	-	+	+	-	-	+	-	-	-	-	-	-	.	.	+	-	+	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
d̠̤ʒ̤	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	-	+	+	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
d̠̰	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	-	+	-	-	.	.	.	.	.	-	-	+	-	-	+	-	-	-	-	-
d̠͈ʒ	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	-	+	+	-	.	.	.	.	.	-	-	+	-	-	-	+	-	-	-	-
d̠ⁿ	.	-	-	-	-	+	-	-	-	-	-	-	.	-	-	.	.	+	-	+	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
d̤	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
d̤z	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	+	-	+	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
d̤z̤	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	+	-	+	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
d̤z̤ː	.	-	-	-	+	+	-	-	+	-	-	-	-	-	-	.	.	+	+	-	+	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
d̤ɮ̤	.	-	-	-	-	+	-	.	.	-	-	-	-	.	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
d̤ʑ̤	.	-	-	-	-	+	-	.	.	-	-	-	-	-	-	.	.	+	+	.	.	.	+	-	+	-	.	-	-	+	-	+	-	-	-	-	-	-
d̤ʒ̤	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	-	+	+	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
d̤ʒ̤ː	.	-	-	-	+	+	-	-	+	-	-	-	-	-	-	.	.	+	-	+	+	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
d̤̥	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	-	-	+	-	-	-	-	-	-
d̥	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	-	-	-	-	-	-	-	-	-
d̥z̥	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	+	-	+	-	.	.	.	.	.	-	-	-	-	-	-	-	-	-	-	-
d̥z̥ʲ	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	+	-	+	.	+	-	+	-	.	-	-	-	-	-	-	-	-	-	-	-
d̥ʑ̥	.	-	-	-	-	+	-	.	.	-	-	-	-	-	-	.	.	+	+	.	.	.	+	-	+	-	.	-	-	-	-	-	-	-	-	-	-	-
d̥ʒ̊	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	-	+	+	-	.	.	.	.	.	-	-	-	-	-	-	-	-	-	-	-
d̥ʒ̥	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	-	+	+	-	.	.	.	.	.	-	-	-	-	-	-	-	-	-	-	-
d̥ʲ	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	-	-	.	+	-	+	-	.	-	-	-	-	-	-	-	-	-	-	-
d̥ː	.	-	-	-	+	+	-	-	-	-	-	-	-	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	-	-	-	-	-	-	-	-	-
d̩	.	-	+	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
d̪	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
d̪l̪	.	-	-	-	-	+	.	.	-	.	-	-	-	.	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
d̪n̪	.	-	-	-	-	+	.	-	-	-	-	-	.	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
d̪x	.	-	-	-	-	+	-	.	.	-	-	-	-	-	-	.	.	.	+	+	-	.	+	-	-	-	.	-	-	.	-	-	-	-	-	-	-	-
d̪z	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	+	+	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
d̪z̪	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	+	+	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
d̪z̪|dz	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	+	.	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
d̪z̪ʲ	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	+	+	+	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
d̪z̪ʲ|dzʲ	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	+	.	+	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
d̪z̪ː	.	-	-	-	+	+	-	-	+	-	-	-	-	-	-	.	.	+	+	+	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
d̪z̪̤|dz̤	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	+	.	+	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
d̪|d	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	.	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
d̪ð	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
d̪ð̪	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
d̪ɦ	.	-	-	-	-	.	-	.	.	-	-	-	-	-	-	.	.	.	+	+	-	-	.	.	.	.	.	-	-	+	-	.	-	-	-	-	-	-
d̪ɮ̪|dɮ	.	-	-	-	-	+	-	.	.	-	-	-	-	.	-	.	.	+	+	.	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
d̪ʒ	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	+	+	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
d̪ʱ	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
d̪ʱː	.	-	-	-	+	+	-	-	-	-	-	-	-	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
d̪ʲ	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	+	-	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
d̪ʲ|dʲ	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	.	-	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
d̪ʷ|dʷ	.	-	-	-	-	+	-	-	-	-	-	-	-	-	.	+	-	+	+	.	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
d̪ʼkxʼ	.	-	-	-	-	+	-	-	.	-	-	-	-	-	-	.	.	.	+	+	-	.	+	-	-	-	.	-	-	-	-	-	+	-	-	+	-	-
d̪ː	.	-	-	-	+	+	-	-	-	-	-	-	-	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
d̪ˠ	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	+	-	.	+	-	-	-	.	-	-	+	-	-	-	-	-	-	-	-
d̪ˤ	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	+	-	-	.	.	.	.	.	.	-	+	-	-	-	-	-	-	-	-
d̪ˤ|dˤ	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	.	-	-	.	.	.	.	.	.	-	+	-	-	-	-	-	-	-	-
d̪ˤː	.	-	-	-	+	+	-	-	-	-	-	-	-	-	-	.	.	+	+	+	-	-	.	.	.	.	.	.	-	+	-	-	-	-	-	-	-	-
d̪̚	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
d̪̤	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
d̪̤|d̤	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	.	-	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
d̪̤ː	.	-	-	-	+	+	-	-	-	-	-	-	-	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
d̪̤̥	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	-	-	+	-	-	-	-	-	-
d̪̥	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	-	-	-	-	-	-	-	-	-
d̪̰	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	+	-	-	+	-	-	-	-	-
d̪̰|d̰	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	.	-	-	.	.	.	.	.	-	-	+	-	-	+	-	-	-	-	-
d̪̺	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
d̪̻	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
d̪ⁿ	.	-	-	-	-	+	-	-	-	-	-	-	.	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
d̰	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	+	-	-	-	-	-
d̺	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
d̺z̺	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	+	-	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
d̺z̺ː	.	-	-	-	+	+	-	-	+	-	-	-	-	-	-	.	.	+	+	-	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
d̺ʒ̺	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	-	-	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
d̺ː	.	-	-	-	+	+	-	-	-	-	-	-	-	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
d̺̠ʒ̺ʷ	.	-	-	-	-	+	-	-	+	-	-	-	-	-	.	+	-	+	-	-	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
d̺̤	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
d̺̥	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	-	-	-	-	-	-	-	-	-
d̺̥z̺̥	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	+	-	+	-	.	.	.	.	.	-	-	-	-	-	-	-	-	-	-	-
d̻	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
d̻z̻	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	+	+	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
d̻z̻ː	.	-	-	-	+	+	-	-	+	-	-	-	-	-	-	.	.	+	+	+	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
d̻ʑ̻	.	-	-	-	-	+	-	.	.	-	-	-	-	-	-	.	.	+	+	+	.	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
d̻ʒ̻	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	-	+	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
d̻ʲ	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	+	-	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
d̻ː	.	-	-	-	+	+	-	-	-	-	-	-	-	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
d̻̤	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
d̻̤ʑ̻̤	.	-	-	-	-	+	-	.	.	-	-	-	-	-	-	.	.	+	+	+	.	.	+	-	+	-	.	-	-	+	-	+	-	-	-	-	-	-
d͇z͇	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
d͈	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	+	-	-	-	-
d͈ː	.	-	-	-	+	+	-	-	-	-	-	-	-	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	+	-	-	-	-
dᶣ	.	-	-	-	-	+	-	-	-	-	-	-	-	-	.	+	-	+	+	-	-	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
dⁿ	.	-	-	-	-	+	-	-	-	-	-	-	.	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
e	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	-	+	-	+	-	-	+	-	-	-	.	.	-	-	.
