INVENTORY	GLOTTOCODE	SEGMENTS
87	pure1242	a b d ɛ f ɡ h i ɨ˞ j k͉ kʰ l ɭ m n ɲ o p͉ pʰ s ʃ t͉ tʰ t͉s tsʰ t̠ʃ͉ t̠ʃʰ u w x ʔ
88	karo1304	˥ ˥˦ ˩ a ã aː eː ɛ f fː h i ĩ iː j k kː m mː n nː oː p pː ɾ s s̻ sː s̻θ ʃ ʃː t tː t̠ːʃ t̠ʃ ʊ ʊː x xː ʔ β̞
89	sout2982	a aː b d ə ɛ ɛː f h ɪ ɪː j k kʼ l m n ɔ ɔː p pʼ q qʼ ɾ s ʃ t t̪ ts tsʼ tʼ t̪ʼ ʊ ʊː w x ʔ χ
90	kumi1248	a aː eː ə ɪ j k kʷ l l̻ ɬ ɬ̻ m n n̪ ɲ̟ oː ɔ ɔː p q r ɹ s s̪ t t̪ t̠ʃ ʊ w x xʷ ʔ β
91	zuni1245	a aː ɛ ɛː h i iː j jː kʰ kʰː kʷʰ kʷʰː kʷʼ kʷʼː kʼ kʼː l lː ɬ ɬː m mː n nː ɔ ɔː p pː pʼ pʼː s sː ʃ ʃː t tː tsʰ tsʰː tsʼ tsʼː t̠ʃʰ t̠ʃʰː t̠ʃʼ t̠ʃʼː tʼ tʼː u uː w wː xh ʔ ʔː
92	sout2961	˥ ˧ ˩ ɑ ɑ̃ b d e ẽ ə ə̃ ɡ h i ĩ j k kʷ kʷʼ kʼ l ɬ m n o õ p pʰ pʼ r s t tʰ t̠ʃ tʼ u ũ w x xʷ ʔ
93	tewa1260	˥ ˥˦ ˧ ˩ a̟ ã̟ a̟ː ã̟ː æː b d d̠ʒ e̞ eː ɛ ɛ̃ ɛ̃ː ɡ h hʷ i ĩ iː j k kʷ kʷʼ kʼ m n nʲ ŋ o̞ oː p pʼ ɸ ɾ s ʃ t tʲ ts tsʼ t̠ʃ t̠ʃʼ tʼ u ũ uː ũː w ʔ β θ χ χʷ
94	luis1253	a aː ð e̞ e̞ː h ɪ ɪː ɨ j k kʷ l m n ŋ o̞ o̞ː p qʰ qʷʰ ɾ s ʂ ʃ t t̠ʃ ʊ ʊː w x xʷ ʔ β
95	hopi1249	a ă aː a̟ː ɛ ɛ̆ ɤ ɤː h ʰk ʰkʷ ʰp ʰq ʰt ʰts i ĭ iː j j̥ k kʷ l l̥ m m̥ n n̥ ɲ ŋ ŋ̥ ŋʷ ø øː oːu ou p q s t ts ŭ ɯ̆ v w ʍ y̆ ʐ͇ ʔ
96	toho1245	a aː h i iː ɨ ɨː j k k͉ m n ɲ̟ ɔ ɔː p p͉ ɺ s ʂ t t͉ t̠ʃ t̠ʃ͉ ʈ͉ u uː w ʔ
