GRAPHEME	SYLLABIC	vocalic	V-place	approximant	vocoid	sonorant	continuant	voice	constricted	lateral	nasal	strident	spread	ATR	anterior (C)	anterior (V)	anterior (any)	coronal (C)	coronal (V)	coronal (any)	labial (C)	distributed (C)	distributed (V)	distributed (any)	C-place	pharyngeal (C)	lingual (C)	dorsal (C)	pharyngeal (V)	labial (V)	lingual (V)	dorsal (V)	LONG	EXTRA	open1	open2	open3	open4	open5	open6	pharyngeal (any)	labial (any)	lingual (any)	dorsal (any)
qː	-	o	o	-	-	-	-	-	-	-	-	-	-	n	n	n	n	-	o	-	-	n	n	n	x	+	+	+	o	o	o	o	+	-	.	.	.	.	.	.	+	-	+	+
qˤ	-	x	x	-	-	-	-	-	-	-	-	-	-	n	n	n	n	-	-	-	-	n	n	n	x	+	+	+	+	-	-	-	-	-	.	.	.	.	.	.	+	-	+	+
qˤʷ	-	x	x	-	-	-	-	-	-	-	-	-	-	n	n	n	n	-	-	-	-	n	n	n	x	+	+	+	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	+
qˤʼ	-	x	x	-	-	-	-	-	+	-	-	-	-	n	n	n	n	-	-	-	-	n	n	n	x	+	+	+	+	-	-	-	-	-	.	.	.	.	.	.	+	-	+	+
qχ	-	o	o	-	-	-	-	-	-	-	-	.	-	n	n	n	n	-	o	-	-	n	n	n	x	+	+	+	o	o	o	o	-	-	.	.	.	.	.	.	+	-	+	+
r	-	o	o	+	-	+	+	+	-	-	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
rʰ	-	o	o	+	-	+	+	+	-	-	-	-	+	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
rʲ	-	x	x	+	-	+	+	+	-	-	-	-	-	n	+	-	+	+	+	+	-	-	+	+	x	-	+	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
rʷ	-	x	x	+	-	+	+	+	-	-	-	-	-	n	+	n	+	+	-	+	-	-	n	-	x	-	+	-	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	-
rʼ	-	o	o	+	-	+	+	+	+	-	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
rː	-	o	o	+	-	+	+	+	-	-	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	+	-	.	.	.	.	.	.	-	-	+	-
rˤ	-	x	x	+	-	+	+	+	-	-	-	-	-	n	+	n	+	+	-	+	-	-	n	-	x	-	+	-	+	-	-	-	-	-	.	.	.	.	.	.	+	-	+	-
rˤː	-	x	x	+	-	+	+	+	-	-	-	-	-	n	+	n	+	+	-	+	-	-	n	-	x	-	+	-	+	-	-	-	+	-	.	.	.	.	.	.	+	-	+	-
r̃	-	o	o	+	-	+	+	+	-	-	+	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ř	-	o	o	+	-	+	+	+	-	-	-	+	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
r̟	-	o	o	+	-	+	+	+	-	-	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
r̟ʲ	-	x	x	+	-	+	+	+	-	-	-	-	-	n	+	-	+	+	+	+	-	-	+	+	x	-	+	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
r̥	-	o	o	+	-	+	+	-	-	-	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
r̥ʰ	-	o	o	+	-	+	+	-	-	-	-	-	+	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
r̪	-	o	o	+	-	+	+	+	-	-	-	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
r̪ʲ	-	x	x	+	-	+	+	+	-	-	-	-	-	n	+	-	+	+	+	+	-	+	+	+	x	-	+	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
r͡ɣw	-	x	x	-	-	.	.	+	-	-	-	-	-	n	+	n	+	+	-	+	-	-	n	-	x	-	+	+	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	+
s	-	o	o	-	-	-	+	-	-	-	-	+	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
sɥ	-	x	x	-	-	-	+	-	-	-	-	+	-	n	+	-	+	+	+	+	-	-	+	+	x	-	+	-	+	+	+	-	-	-	.	.	.	.	.	.	+	+	+	-
sʰ	-	o	o	-	-	-	+	-	-	-	-	+	+	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
sʲ	-	x	x	-	-	-	+	-	-	-	-	+	-	n	+	-	+	+	+	+	-	-	+	+	x	-	+	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
sʷ	-	x	x	-	-	-	+	-	-	-	-	+	-	n	+	n	+	+	-	+	-	-	n	-	x	-	+	-	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	-
sʼ	-	o	o	-	-	-	+	-	+	-	-	+	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
sː	-	o	o	-	-	-	+	-	-	-	-	+	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	+	-	.	.	.	.	.	.	-	-	+	-
sˠ	-	x	x	-	-	-	+	-	-	-	-	+	-	n	+	n	+	+	-	+	-	-	n	-	x	-	+	-	-	-	+	+	-	-	.	.	.	.	.	.	-	-	+	+
sˤ	-	x	x	-	-	-	+	-	-	-	-	+	-	n	+	n	+	+	-	+	-	-	n	-	x	-	+	-	+	-	-	-	-	-	.	.	.	.	.	.	+	-	+	-
s̀	-	o	o	-	-	-	+	-	+	-	-	+	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
š	-	o	o	-	-	-	+	-	-	-	-	+	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
s̞	-	o	o	-	-	-	+	-	-	-	-	+	-	n	-	n	-	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
s̪	-	o	o	-	-	-	+	-	-	-	-	+	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
s̪v	-	o	o	-	-	-	+	-	-	-	-	+	-	n	+	n	+	+	o	+	+	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	-
s̪ʲ	-	x	x	-	-	-	+	-	-	-	-	+	-	n	+	-	+	+	+	+	-	+	+	+	x	-	+	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
s̪ʼ	-	o	o	-	-	-	+	-	+	-	-	+	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
s̪ː	-	o	o	-	-	-	+	-	-	-	-	+	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	+	-	.	.	.	.	.	.	-	-	+	-
s̪ˤ	-	x	x	-	-	-	+	-	-	-	-	+	-	n	+	n	+	+	-	+	-	+	n	+	x	-	+	-	+	-	-	-	-	-	.	.	.	.	.	.	+	-	+	-
s̪ˤː	-	x	x	-	-	-	+	-	-	-	-	+	-	n	+	n	+	+	-	+	-	+	n	+	x	-	+	-	+	-	-	-	+	-	.	.	.	.	.	.	+	-	+	-
s̻	-	o	o	-	-	-	+	-	-	-	-	+	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
s̻ˤ	-	x	x	-	-	-	+	-	-	-	-	+	-	n	+	n	+	+	-	+	-	+	n	+	x	-	+	-	+	-	-	-	-	-	.	.	.	.	.	.	+	-	+	-
s͡kʷ	-	x	x	-	-	-	-	-	-	-	-	+	-	n	+	n	+	+	-	+	-	-	n	-	x	-	+	+	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	+
t	-	o	o	-	-	-	-	-	-	-	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
tç	-	o	o	-	-	-	-	-	-	-	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
tçʰ	-	o	o	-	-	-	-	-	-	-	-	-	+	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
tl	-	o	o	-	-	-	-	-	-	+	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
tlʰ	-	o	o	-	-	-	-	-	-	+	-	-	+	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
tlʼ	-	o	o	-	-	-	-	-	+	+	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
tr	-	o	o	-	-	-	-	-	-	-	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ts	-	o	o	-	-	-	-	-	-	-	-	+	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
tsjʰ	-	x	x	-	-	-	-	-	-	-	-	+	+	n	+	-	+	+	+	+	-	-	+	+	x	-	+	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
tswʰ	-	x	x	-	-	-	-	-	-	-	-	+	+	n	+	n	+	+	-	+	-	-	n	-	x	-	+	-	-	+	-	-	-	-	.	.	.	.	.	.	-	+	+	-
tsx	-	o	o	-	-	-	-	-	-	-	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
tsʰ	-	o	o	-	-	-	-	-	-	-	-	+	+	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
tsʰʷ	-	x	x	-	-	-	-	-	-	-	-	+	+	n	+	n	+	+	-	+	-	-	n	-	x	-	+	-	-	+	-	-	-	-	.	.	.	.	.	.	-	+	+	-
tsʲ	-	x	x	-	-	-	-	-	-	-	-	+	-	n	+	-	+	+	+	+	-	-	+	+	x	-	+	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
tsʷ	-	x	x	-	-	-	-	-	-	-	-	+	-	n	+	n	+	+	-	+	-	-	n	-	x	-	+	-	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	-
tsʼ	-	o	o	-	-	-	-	-	+	-	-	+	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
tsʼkxʼ	-	o	o	-	-	-	-	-	+	-	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
tsʼʷ	-	x	x	-	-	-	-	-	+	-	-	+	-	n	+	n	+	+	-	+	-	-	n	-	x	-	+	-	-	+	-	-	-	-	.	.	.	.	.	.	-	+	+	-
ts̀	-	o	o	-	-	-	-	-	+	-	-	+	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ts͡kʷ	-	x	x	-	-	-	-	-	-	-	-	+	-	n	+	n	+	+	-	+	-	-	n	-	x	-	+	+	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	+
tx	-	o	o	-	-	-	-	-	-	-	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
tz	-	o	o	-	-	-	-	-	-	-	-	+	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
tzʼ	-	o	o	-	-	-	-	-	+	-	-	+	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
tɕ	-	o	o	-	-	-	-	-	-	-	-	+	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
tɕɥ	-	x	x	-	-	-	-	-	-	-	-	+	-	n	.	-	-	+	+	+	-	-	+	+	x	-	+	-	+	+	+	-	-	-	.	.	.	.	.	.	+	+	+	-
tɕʰ	-	o	o	-	-	-	-	-	-	-	-	+	+	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
tɦ	-	o	o	-	-	-	-	-	-	-	-	-	+	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
tɬ	-	o	o	-	-	-	-	-	-	+	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
tɬʰ	-	o	o	-	-	-	-	-	-	+	-	-	+	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
tɬʼ	-	o	o	-	-	-	-	-	+	+	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
tɸʰ	-	o	o	-	-	-	-	-	-	-	-	-	+	n	+	n	+	+	o	+	+	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	-
tʂ	-	o	o	-	-	-	-	-	-	.	-	+	-	n	.	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
tʂʼ	-	o	o	-	-	-	-	-	+	.	-	+	-	n	.	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
tʃ	-	o	o	-	-	-	-	-	-	-	-	+	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
tʃɦ	-	o	o	-	-	-	-	-	-	-	-	+	+	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
tʃʰ	-	o	o	-	-	-	-	-	-	-	-	+	+	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
tʃʰʷ	-	x	x	-	-	-	-	-	-	-	-	+	+	n	-	n	-	+	-	+	-	+	n	+	x	-	+	-	-	+	-	-	-	-	.	.	.	.	.	.	-	+	+	-
tʃʲ	-	x	x	-	-	-	-	-	-	-	-	+	-	n	-	-	-	+	+	+	-	+	+	+	x	-	+	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
tʃʷ	-	x	x	-	-	-	-	-	-	-	-	+	-	n	-	n	-	+	-	+	-	+	n	+	x	-	+	-	-	+	-	-	-	-	.	.	.	.	.	.	-	+	+	-
tʃʷʼ	-	x	x	-	-	-	-	-	+	-	-	+	-	n	-	n	-	+	-	+	-	+	n	+	x	-	+	-	-	+	-	-	-	-	.	.	.	.	.	.	-	+	+	-
tʃʼ	-	o	o	-	-	-	-	-	+	-	-	+	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
tʃˤ	-	x	x	-	-	-	-	-	-	-	-	+	-	n	-	n	-	+	-	+	-	+	n	+	x	-	+	-	+	-	-	-	-	-	.	.	.	.	.	.	+	-	+	-
tʃ̀	-	o	o	-	-	-	-	-	+	-	-	+	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
tʃ͡k	-	o	o	-	-	-	-	-	-	-	-	+	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
tʃ͡kʷ	-	x	x	-	-	-	-	-	-	-	-	+	-	n	-	n	-	+	-	+	-	+	n	+	x	-	+	+	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	+
tʰ	-	o	o	-	-	-	-	-	-	-	-	-	+	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
tʰʷ	-	x	x	-	-	-	-	-	-	-	-	-	+	n	+	n	+	+	-	+	-	-	n	-	x	-	+	-	-	+	-	-	-	-	.	.	.	.	.	.	-	+	+	-
tʲ	-	x	x	-	-	-	-	-	-	-	-	-	-	n	+	-	+	+	+	+	-	-	+	+	x	-	+	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
tʲʰ	-	x	x	-	-	-	-	-	-	-	-	-	+	n	+	-	+	+	+	+	-	-	+	+	x	-	+	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
tʲʼ	-	x	x	-	-	-	-	-	+	-	-	-	-	n	+	-	+	+	+	+	-	-	+	+	x	-	+	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
tʷ	-	x	x	-	-	-	-	-	-	-	-	-	-	n	+	n	+	+	-	+	-	-	n	-	x	-	+	-	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	-
tʼ	-	o	o	-	-	-	-	-	+	-	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
tʼkxʼ	-	o	o	-	-	-	-	-	+	-	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
tʼʷ	-	x	x	-	-	-	-	-	+	-	-	-	-	n	+	n	+	+	-	+	-	-	n	-	x	-	+	-	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	-
tː	-	o	o	-	-	-	-	-	-	-	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	+	-	.	.	.	.	.	.	-	-	+	-
tːʃ	-	o	o	-	-	-	-	-	-	-	-	+	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	+	-	.	.	.	.	.	.	-	-	+	-
tːʃː	-	o	o	-	-	-	-	-	-	-	-	+	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	+	+	.	.	.	.	.	.	-	-	+	-
tˠ	-	x	x	-	-	-	-	-	-	-	-	-	-	n	+	n	+	+	-	+	-	-	n	-	x	-	+	-	-	-	+	+	-	-	.	.	.	.	.	.	-	-	+	+
tˤ	-	x	x	-	-	-	-	-	-	-	-	-	-	n	+	n	+	+	-	+	-	-	n	-	x	-	+	-	+	-	-	-	-	-	.	.	.	.	.	.	+	-	+	-
t̀	-	o	o	-	-	-	-	-	+	-	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
t̂	-	o	o	-	-	-	-	-	-	-	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
t̪	-	o	o	-	-	-	-	-	-	-	-	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
t̪s̪	-	o	o	-	-	-	-	-	-	-	-	+	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
t̪s̪ɦ	-	o	o	-	-	-	-	-	-	-	-	+	+	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
t̪s̪ʰ	-	o	o	-	-	-	-	-	-	-	-	+	+	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
t̪s̪ʰʷ	-	x	x	-	-	-	-	-	-	-	-	+	+	n	+	n	+	+	-	+	-	+	n	+	x	-	+	-	-	+	-	-	-	-	.	.	.	.	.	.	-	+	+	-
t̪s̪ʼ	-	o	o	-	-	-	-	-	+	-	-	+	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
t̪s̪ː	-	o	o	-	-	-	-	-	-	-	-	+	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	+	-	.	.	.	.	.	.	-	-	+	-
t̪ʃ	-	o	o	-	-	-	-	-	-	-	-	+	-	n	.	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
t̪ʰ	-	o	o	-	-	-	-	-	-	-	-	-	+	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
t̪ʲ	-	x	x	-	-	-	-	-	-	-	-	-	-	n	+	-	+	+	+	+	-	+	+	+	x	-	+	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
t̪ʷ	-	x	x	-	-	-	-	-	-	-	-	-	-	n	+	n	+	+	-	+	-	+	n	+	x	-	+	-	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	-
t̪ʼ	-	o	o	-	-	-	-	-	+	-	-	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
t̪ː	-	o	o	-	-	-	-	-	-	-	-	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	+	-	.	.	.	.	.	.	-	-	+	-
t̪ˤ	-	x	x	-	-	-	-	-	-	-	-	-	-	n	+	n	+	+	-	+	-	+	n	+	x	-	+	-	+	-	-	-	-	-	.	.	.	.	.	.	+	-	+	-
t̪ˤː	-	x	x	-	-	-	-	-	-	-	-	-	-	n	+	n	+	+	-	+	-	+	n	+	x	-	+	-	+	-	-	-	+	-	.	.	.	.	.	.	+	-	+	-
t̪̀	-	o	o	-	-	-	-	-	+	-	-	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
t̪͡c	-	o	o	-	-	-	-	-	-	-	-	-	-	n	.	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
t̪͡k	-	o	o	-	-	-	-	-	-	-	-	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
t̪θ	-	o	o	-	-	-	-	-	-	-	-	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
t̪ⁿ	-	o	o	-	-	-	-	-	-	-	+	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
t̺s̺ʲ	-	x	x	-	-	-	-	-	-	-	-	+	-	n	+	-	+	+	+	+	-	+	+	+	x	-	+	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
t̻s̻	-	o	o	-	-	-	-	-	-	-	-	+	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
t̻ɕ	-	o	o	-	-	-	-	-	-	-	-	+	-	n	.	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
t̻ɕʰ	-	o	o	-	-	-	-	-	-	-	-	+	+	n	.	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
t̻ɕʼ	-	o	o	-	-	-	-	-	+	-	-	+	-	n	.	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
t̻ʃ̻	-	o	o	-	-	-	-	-	-	-	-	+	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
tθ	-	o	o	-	-	-	-	-	-	-	-	-	-	n	+	n	+	+	o	+	-	.	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
tθʼ	-	o	o	-	-	-	-	-	+	-	-	-	-	n	+	n	+	+	o	+	-	.	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
tⁿ	-	o	o	-	-	-	-	-	-	-	+	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
u	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	.	.	.	.	.	.	-	+	+	+
ua	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	+	-	-	-	-	-	-	-	-	+	+	+
ui	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	+	+	+	+	-	.	.	.	.	.	.	-	+	+	+
uj	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-	+	+
uo	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	+	-	-	-	-	-	-	-	-	+	+	+
uw	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	+	-	-	-	-	-	-	-	-	+	+	+
uɔ	+	x	x	+	+	+	+	+	-	-	-	-	-	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	+	-	-	-	-	-	-	-	-	+	+	+
uə	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	+	-	-	-	-	-	-	-	-	+	+	+
uʔ	+	x	x	+	+	+	+	+	+	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	.	.	.	.	.	.	-	+	+	+
uʔu	+	x	x	+	+	+	+	+	+	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	-	-	.	.	.	.	.	.	-	+	+	+
uː	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	+	-	.	.	.	.	.	.	-	+	+	+
uːː	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	+	+	+	+	+	.	.	.	.	.	.	-	+	+	+
