GRAPHEME	syllabic	vocalic	consonantal	sonorant	continuant	voice	glottal_(tertiary)_closure	lateral	nasal	strident	heightened_subglottal_pressure	movement_of_glottal_closure	tense	covered	high	low	anterior	coronal	back	round	distributed	delayed_primary_release	delayed_release_of_secondary_closure	LONG	EXTRA
d̪z̪ʲ	-	-	+	-	-	+	-	-	-	+	-	n	.	n	+	-	+	+	-	-	+	+	n	-	-
d̪z̪ʷ	-	-	+	-	-	+	-	-	-	+	-	n	.	n	-	-	+	+	-	+	+	+	n	-	-
d̪ð	-	-	+	-	-	+	-	-	-	-	-	n	.	n	-	-	+	+	-	-	.	+	n	-	-
d̪ʒ	-	-	+	-	-	+	-	-	-	+	-	n	.	n	.	-	.	.	-	-	+	+	n	-	-
d̪ʰ	-	-	+	-	-	+	-	-	-	-	+	n	+	n	-	-	+	+	-	-	+	-	n	-	-
d̪ʲ	-	-	+	-	-	+	-	-	-	-	-	n	.	n	+	-	+	+	-	-	+	-	n	-	-
d̪ː	-	-	+	-	-	+	-	-	-	-	-	n	.	n	-	-	+	+	-	-	+	-	n	+	-
d̪ˤ	-	-	+	-	-	+	-	-	-	-	-	n	.	n	-	+	+	+	+	-	+	-	n	-	-
d̪ˤː	-	-	+	-	-	+	-	-	-	-	-	n	.	n	-	+	+	+	+	-	+	-	n	+	-
d̻	-	-	+	-	-	+	-	-	-	-	-	n	.	n	-	-	+	+	-	-	+	-	n	-	-
d̻ʑ	-	-	+	-	-	+	-	-	-	+	-	n	.	n	.	-	-	+	-	-	+	+	n	-	-
d̻ʒ̻	-	-	+	-	-	+	-	-	-	+	-	n	.	n	.	-	-	+	-	-	+	+	n	-	-
dβ	-	-	+	-	-	+	-	-	-	-	-	n	.	n	-	-	+	.	-	-	.	+	n	-	-
e	+	+	-	+	+	+	-	n	-	-	-	n	+	-	-	-	-	-	-	-	n	n	n	-	-
ei	+	+	-	+	+	+	-	n	-	-	-	n	+	-	.	-	-	-	-	-	n	n	n	+	-
ej	+	+	-	+	+	+	-	n	-	-	-	n	+	-	.	-	-	-	-	-	n	n	n	+	-
emf	+	+	-	+	+	+	-	n	-	-	-	n	+	+	-	-	-	-	-	-	n	n	n	-	-
eu	+	+	-	+	+	+	-	n	-	-	-	n	+	-	.	-	-	-	.	.	n	n	n	+	-
