GRAPHEME	vocalic	consonantal	interrupted	voiced	checked	nasal	strident	tense	compact	sharp	diffuse	grave	flat	LONG	EXTRA
lǃ	-	+	+	+	-	-	-	.	-	-	+	-	-	-	-
lɥ	+	+	-	+	-	-	-	.	-	+	+	-	+	-	-
lʰ	+	+	-	+	-	-	-	+	-	-	+	-	-	-	-
lʲ	+	+	-	+	-	-	-	.	-	+	+	-	-	-	-
lʷ	+	+	-	+	-	-	-	.	-	-	+	-	+	-	-
lʼ	+	+	-	+	+	-	-	.	-	-	+	-	-	-	-
lː	+	+	-	+	-	-	-	.	-	-	+	-	-	+	-
lˠ	+	+	-	+	-	-	-	.	-	.	+	-	-	-	-
lˠʷ	+	+	-	+	-	-	-	.	-	-	+	-	+	-	-
lˤ	+	+	-	+	-	-	-	.	-	-	+	-	+	-	-
l̃	+	+	-	+	-	+	-	.	-	-	+	-	-	-	-
l̟	+	+	-	+	-	-	-	.	.	-	.	-	-	-	-
l̟ʲ	+	+	-	+	-	-	-	.	.	+	.	-	-	-	-
l̤	+	+	-	+	-	-	-	.	-	-	+	-	-	-	-
l̥	-	+	-	-	-	-	-	.	-	-	+	-	-	-	-
l̥ʰ	-	+	-	-	-	-	-	+	-	-	+	-	-	-	-
l̩	+	+	-	+	-	-	-	.	-	-	+	-	-	-	-
l̪	+	+	-	+	-	-	-	.	-	-	+	-	-	-	-
l̪ʰ	+	+	-	+	-	-	-	+	-	-	+	-	-	-	-
l̪ʲ	+	+	-	+	-	-	-	.	-	+	+	-	-	-	-
l̪ʼ	+	+	-	+	+	-	-	.	-	-	+	-	-	-	-
l̪ː	+	+	-	+	-	-	-	.	-	-	+	-	-	+	-
l̪ˤ	+	+	-	+	-	-	-	.	-	-	+	-	+	-	-
l̪ˤː	+	+	-	+	-	-	-	.	-	-	+	-	+	+	-
l̪θ	.	+	-	.	-	-	-	.	-	-	+	-	-	-	-
m	-	+	+	+	-	+	-	.	-	-	+	+	-	-	-
m<	-	+	+	+	-	+	-	.	-	-	+	+	-	-	-
mb̥	-	+	+	-	-	.	-	.	-	-	+	+	-	-	-
mnl	-	+	+	+	-	+	-	.	-	-	+	.	-	-	-
mǀG	-	+	+	-	-	.	-	.	-	-	+	-	-	-	-
mǁG	-	+	+	+	-	.	-	.	-	-	+	-	-	-	-
mǂG	-	+	+	-	-	.	-	.	+	-	-	-	-	-	-
mǃG	-	+	+	-	-	.	-	.	-	-	+	-	-	-	-
mʘG	-	+	+	-	-	.	-	.	-	-	+	+	-	-	-
mʰ	-	+	+	+	-	+	-	+	-	-	+	+	-	-	-
mʲ	-	+	+	+	-	+	-	.	-	+	+	+	-	-	-
mʷ	-	+	+	+	-	+	-	.	-	-	+	+	+	-	-
mʼ	-	+	+	+	+	+	-	.	-	-	+	+	-	-	-
mː	-	+	+	+	-	+	-	.	-	-	+	+	-	+	-
mˠ	-	+	+	+	-	+	-	.	-	.	+	+	-	-	-
mˡ	-	+	+	+	-	+	-	.	-	-	+	+	-	-	-
mˤ	-	+	+	+	-	+	-	.	-	-	+	+	+	-	-
m̂	-	+	+	+	-	+	-	-	-	-	+	+	-	-	-
m̏	-	+	+	+	-	+	-	+	-	-	+	+	-	-	-
m̤	-	+	+	+	-	+	-	.	-	-	+	+	-	-	-
m̥	-	+	+	-	-	+	-	.	-	-	+	+	-	-	-
m̥ʰ	-	+	+	-	-	+	-	+	-	-	+	+	-	-	-
m̩	-	+	+	+	-	+	-	.	-	-	+	+	-	-	-
m͡ŋ	-	+	+	+	-	+	-	.	.	-	.	+	-	-	-
mβ	-	+	-	+	-	+	-	.	-	-	+	+	-	-	-
n	-	+	+	+	-	+	-	.	-	-	+	-	-	-	-
nd̥	-	+	+	-	-	.	-	.	-	-	+	-	-	-	-
ngǀ	-	+	+	+	-	.	-	.	-	-	+	-	-	-	-
ngǁ	-	+	+	+	-	.	-	.	-	-	+	-	-	-	-
ngǂ	-	+	+	+	-	.	-	.	+	-	-	-	-	-	-
ngǃ	-	+	+	+	-	.	-	.	-	-	+	-	-	-	-
nkǀ	-	+	+	-	-	.	-	.	-	-	+	-	-	-	-
nkǃ	-	+	+	-	-	.	-	.	-	-	+	-	-	-	-
nzʷ	-	+	-	+	-	.	+	.	-	-	+	-	+	-	-
nð	-	+	-	+	-	.	-	.	-	-	+	-	-	-	-
nŋw	-	+	+	+	-	+	-	.	.	-	.	.	+	-	-
nǀ	-	+	+	-	-	.	-	.	-	-	+	-	-	-	-
nǁ	-	+	+	-	-	.	-	.	-	-	+	-	-	-	-
nǂ	-	+	+	-	-	.	-	.	+	-	-	-	-	-	-
nǃ	-	+	+	-	-	.	-	.	-	-	+	-	-	-	-
nʰ	-	+	+	+	-	+	-	+	-	-	+	-	-	-	-
nʲ	-	+	+	+	-	+	-	.	-	+	+	-	-	-	-
nʷ	-	+	+	+	-	+	-	.	-	-	+	-	+	-	-
nʼ	-	+	+	+	+	+	-	.	-	-	+	-	-	-	-
nː	-	+	+	+	-	+	-	.	-	-	+	-	-	+	-
nˤ	-	+	+	+	-	+	-	.	-	-	+	-	+	-	-
nˤː	-	+	+	+	-	+	-	.	-	-	+	-	+	+	-
n̂	-	+	+	+	-	+	-	-	-	-	+	-	-	-	-
n̏	-	+	+	+	-	+	-	+	-	-	+	-	-	-	-
n̞	-	+	+	+	-	+	-	.	-	-	+	-	-	-	-
n̞s̞	-	+	-	-	-	.	+	.	-	-	+	-	-	-	-
n̟	-	+	+	+	-	+	-	.	-	-	+	-	-	-	-
n̟ʲ	-	+	+	+	-	+	-	.	-	+	+	-	-	-	-
n̤	-	+	+	+	-	+	-	.	-	-	+	-	-	-	-
n̥	-	+	+	-	-	+	-	.	-	-	+	-	-	-	-
n̥s	-	+	-	-	-	.	+	.	-	-	+	-	-	-	-
n̩	-	+	+	+	-	+	-	.	-	-	+	-	-	-	-
n̪	-	+	+	+	-	+	-	.	-	-	+	-	-	-	-
n̪t̪	-	+	+	-	-	.	-	.	-	-	+	-	-	-	-
n̪t̪ʼ	-	+	+	-	+	.	-	.	-	-	+	-	-	-	-
